GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
130391 0.3699 10.3150 0.2740 22.485 21.685 21.318 21.116 -19.000 -19.800 -20.167 -20.369
131086 0.4772 9.7540 0.4015 22.009 21.407 21.377 21.119 -20.131 -20.733 -20.763 -21.021
390604 0.5233 10.2250 0.1160 21.716 20.882 20.661 20.539 -20.664 -21.498 -21.719 -21.841
480265 0.4991 10.9200 0.0655 22.840 21.651 21.105 20.739 -19.416 -20.605 -21.151 -21.517
520133 0.4012 10.5410 0.1690 20.660 19.686 19.560 19.366 -21.032 -22.006 -22.132 -22.326
540046 0.4077 11.0700 0.0650 21.904 20.871 20.276 19.848 -19.829 -20.862 -21.457 -21.885
000014 0.1369 10.5340 0.0855 18.672 18.117 17.760 17.654 -20.378 -20.933 -21.290 -21.396
040693 0.4667 11.0750 0.1740 22.378 20.915 20.407 20.084 -19.704 -21.167 -21.675 -21.998
170400 0.5471 11.4520 0.2930 20.933 20.171 19.638 19.319 -21.563 -22.325 -22.858 -23.177
190062 0.2962 9.4110 0.5365 21.814 21.411 21.423 21.042 -19.110 -19.513 -19.501 -19.882
210027 0.5884 11.6260 0.0360 22.286 21.158 20.354 19.834 -20.402 -21.530 -22.334 -22.854
390040 0.5712 11.4370 0.0850 22.478 21.198 20.336 20.059 -20.132 -21.412 -22.274 -22.551
150570 0.2437 10.3600 0.1475 21.022 20.282 19.922 19.710 -19.417 -20.157 -20.517 -20.729
160106 0.3019 10.2780 0.3030 20.158 19.905 19.565 19.227 -20.813 -21.066 -21.406 -21.744
080646 0.3197 10.7680 0.1200 21.476 20.506 20.093 19.778 -19.639 -20.609 -21.022 -21.337
170409 0.2576 10.3820 0.3100 21.448 20.623 20.328 20.070 -19.128 -19.953 -20.248 -20.506
370307 0.2033 10.9630 0.0165 20.100 18.982 18.584 18.298 -19.896 -21.014 -21.412 -21.698
380075 0.4174 10.0590 0.3285 22.003 21.245 20.962 20.892 -19.791 -20.549 -20.832 -20.902
040780 0.2306 10.9630 0.0810 20.089 19.322 18.844 18.600 -20.214 -20.981 -21.459 -21.703
110038 0.3399 8.9910 0.3740 22.917 22.621 22.696 22.418 -18.353 -18.649 -18.574 -18.852
160126 0.3595 10.9140 0.2685 21.748 20.369 20.051 19.826 -19.664 -21.043 -21.361 -21.586
370308 0.1996 11.2390 0.0215 19.223 18.309 17.804 17.555 -20.728 -21.642 -22.147 -22.396
380077 0.3639 11.3100 0.0370 21.157 20.030 19.471 19.111 -20.286 -21.413 -21.972 -22.332
390061 0.2815 11.2310 0.0050 20.331 19.228 18.674 18.429 -20.465 -21.568 -22.122 -22.367
510305 0.6170 9.5730 0.4360 22.482 22.292 21.956 22.133 -20.331 -20.521 -20.857 -20.680
020194 0.2446 10.9650 0.1330 20.733 19.400 18.988 18.692 -19.715 -21.048 -21.460 -21.756
091739 0.3738 10.7990 0.2920 21.424 20.443 20.124 19.816 -20.087 -21.068 -21.387 -21.695
380079 0.2440 11.3560 0.0290 19.448 18.502 17.990 17.801 -20.994 -21.940 -22.452 -22.641
510318 0.1516 8.2990 0.8475 20.993 20.663 20.257 20.104 -18.298 -18.628 -19.034 -19.187
000031 0.2198 10.7330 0.0775 19.847 19.123 18.752 18.623 -20.339 -21.063 -21.434 -21.563
020198 0.3602 10.0340 0.0325 20.664 20.054 20.048 19.811 -20.753 -21.363 -21.369 -21.606
040782 0.3373 10.1520 0.3145 21.792 21.067 20.892 20.564 -19.458 -20.183 -20.358 -20.686
150053 0.6037 11.2560 0.4485 21.110 20.613 20.186 19.862 -21.645 -22.142 -22.569 -22.893
440201 0.4413 10.6680 0.4010 22.097 21.239 20.896 20.594 -19.840 -20.698 -21.041 -21.343
490561 0.3152 10.4550 0.4510 21.123 20.361 20.252 20.055 -19.957 -20.719 -20.828 -21.025
550119 0.2950 9.7090 0.1740 21.624 20.392 20.061 19.641 -19.289 -20.521 -20.852 -21.272
590002 0.1979 11.2690 0.1010 19.280 18.317 17.746 17.607 -20.651 -21.614 -22.185 -22.324
040783 0.3285 11.2800 0.1860 19.838 19.069 18.542 18.491 -21.346 -22.115 -22.642 -22.693
520155 0.2223 10.0940 0.1280 20.553 19.945 19.710 19.579 -19.661 -20.269 -20.504 -20.635
570083 0.3056 10.7540 0.2995 19.980 19.255 18.978 18.869 -21.022 -21.747 -22.024 -22.133
080735 0.6350 9.4690 0.6930 22.554 22.388 22.597 22.231 -20.335 -20.501 -20.292 -20.658
120553 0.4825 10.5650 0.3940 21.858 21.159 20.951 20.578 -20.310 -21.009 -21.217 -21.590
150059 0.3913 11.6550 0.0395 20.692 19.317 18.737 18.393 -20.936 -22.311 -22.891 -23.235
190094 0.2336 10.9870 0.1045 20.385 19.341 18.915 18.682 -19.950 -20.994 -21.420 -21.653
370328 0.3714 10.7770 0.2575 21.881 20.905 20.347 20.186 -19.614 -20.590 -21.148 -21.309
010024 0.4193 11.4670 0.0250 21.444 20.200 19.583 19.190 -20.361 -21.605 -22.222 -22.615
050003 0.4268 8.3710 54.4030 23.451 25.897 24.408 23.961 -18.400 -15.954 -17.443 -17.890
120554 0.4056 9.2810 0.4295 22.692 22.010 22.227 22.227 -19.028 -19.710 -19.493 -19.493
140092 0.4179 11.0450 0.0525 22.597 20.911 20.339 19.939 -19.200 -20.886 -21.458 -21.858
150063 0.2238 11.0310 0.1430 20.196 19.331 18.608 18.496 -20.034 -20.899 -21.622 -21.734
160156 0.5503 11.6680 0.2100 22.007 20.836 20.006 19.661 -20.505 -21.676 -22.506 -22.851
310141 0.4979 10.8420 0.0525 23.009 21.757 21.186 20.860 -19.241 -20.493 -21.064 -21.390
380085 0.5219 10.5820 0.6025 22.437 21.654 21.657 21.753 -19.936 -20.719 -20.716 -20.620
390627 0.1602 11.2540 0.0205 18.626 17.713 17.244 17.048 -20.797 -21.710 -22.179 -22.375
480844 0.1590 10.8280 0.1015 18.559 17.937 17.574 17.393 -20.846 -21.468 -21.831 -22.012
000038 0.1513 9.1260 0.6075 20.179 19.912 19.750 19.752 -19.107 -19.374 -19.536 -19.534
010026 0.0311 10.2050 0.1075 15.588 15.032 14.794 14.617 -20.086 -20.642 -20.880 -21.057
