GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
110464 0.5129 11.4840 0.1755 21.840 20.180 19.784 19.398 -20.488 -22.148 -22.544 -22.930
190228 0.4058 10.2780 0.3450 21.502 20.419 20.464 20.163 -20.219 -21.302 -21.257 -21.558
390283 0.4729 9.2990 0.2370 22.812 22.549 22.212 22.319 -19.304 -19.567 -19.904 -19.797
550226 0.3834 11.0210 0.0120 22.094 20.756 20.149 19.814 -19.482 -20.820 -21.427 -21.762
150709 0.5479 9.7560 0.5575 21.994 21.513 21.452 21.416 -20.506 -20.987 -21.048 -21.084
350073 0.2300 11.4540 0.0705 18.950 18.010 17.602 17.343 -21.347 -22.287 -22.695 -22.954
360414 0.2580 9.1750 0.1890 21.999 21.741 21.572 21.228 -18.581 -18.839 -19.008 -19.352
420259 0.2807 10.8160 0.0410 20.205 19.419 19.099 18.845 -20.584 -21.370 -21.690 -21.944
530001 0.4331 9.9310 0.1880 21.610 20.901 20.725 20.683 -20.279 -20.988 -21.164 -21.206
030216 0.1980 10.7990 0.0940 19.048 18.441 18.040 17.961 -20.884 -21.491 -21.892 -21.971
150226 0.3801 9.8840 0.3200 21.496 20.997 20.854 20.519 -20.058 -20.557 -20.700 -21.035
310308 0.4325 11.3580 0.2540 20.319 19.559 19.031 18.784 -21.566 -22.326 -22.854 -23.101
480409 0.4963 10.6450 0.1070 23.883 22.668 22.089 21.655 -18.359 -19.574 -20.153 -20.587
140177 0.2819 11.4430 0.0100 19.873 18.651 18.127 17.905 -20.927 -22.149 -22.673 -22.895
150234 0.4605 10.7890 0.2780 22.774 21.514 20.973 20.736 -19.273 -20.533 -21.074 -21.311
190234 0.5957 10.5610 0.2400 21.849 21.021 20.643 20.539 -20.871 -21.699 -22.077 -22.181
050172 0.4936 10.3160 0.1925 21.318 20.814 20.447 20.377 -20.910 -21.414 -21.781 -21.851
071245 0.4803 11.5700 0.2195 21.284 20.014 19.386 19.014 -20.873 -22.143 -22.771 -23.143
190237 0.2293 10.8780 0.0820 20.417 19.600 19.119 18.832 -19.873 -20.690 -21.171 -21.458
360440 0.5055 11.1710 0.2005 22.051 20.908 20.108 19.895 -20.239 -21.382 -22.182 -22.395
480025 0.2035 10.3720 0.1020 19.867 19.328 19.031 18.879 -20.131 -20.670 -20.967 -21.119
140181 0.1015 10.3590 0.0625 18.102 17.637 17.367 17.241 -20.248 -20.713 -20.983 -21.109
190241 0.3881 10.0410 0.2635 22.646 21.587 21.207 20.989 -18.961 -20.020 -20.400 -20.618
350080 0.2848 11.2290 0.1220 19.146 18.442 18.091 17.803 -21.679 -22.383 -22.734 -23.022
540163 0.3305 10.3590 0.3260 21.094 20.439 20.148 19.982 -20.105 -20.760 -21.051 -21.217
500039 0.2387 9.2100 0.3905 22.263 21.947 21.675 21.590 -18.125 -18.441 -18.713 -18.798
080012 0.5243 10.9610 0.2910 22.043 21.023 20.684 20.355 -20.342 -21.362 -21.701 -22.030
160262 0.5123 10.6120 0.2320 22.706 21.717 21.287 20.996 -19.619 -20.608 -21.038 -21.329
310332 0.3368 10.9580 0.1960 20.815 19.795 19.497 19.271 -20.432 -21.452 -21.750 -21.976
350083 0.3669 9.7550 0.2360 22.495 21.530 21.468 21.152 -18.969 -19.934 -19.996 -20.312
540172 0.5191 9.7240 0.5035 22.458 21.939 21.826 21.557 -19.901 -20.420 -20.533 -20.802
000150 0.2067 10.7800 0.0945 18.485 17.993 17.703 17.614 -21.551 -22.043 -22.333 -22.422
010178 0.3750 9.5890 0.3345 21.883 21.451 21.382 21.072 -19.636 -20.068 -20.137 -20.447
030263 0.2984 10.1160 0.3105 21.330 20.804 20.523 20.258 -19.612 -20.138 -20.419 -20.684
080015 0.3004 10.1140 0.1615 21.508 20.840 20.579 20.307 -19.451 -20.119 -20.380 -20.652
090107 0.2381 11.6880 0.0310 18.790 17.773 17.285 17.056 -21.592 -22.609 -23.097 -23.326
151005 0.1597 10.0630 0.1285 19.368 19.009 18.768 18.710 -20.047 -20.406 -20.647 -20.705
330083 0.2200 8.7800 1.0115 23.910 23.417 23.116 22.718 -16.278 -16.771 -17.072 -17.470
350091 0.5101 11.5580 0.0795 22.120 20.394 19.731 19.331 -20.193 -21.919 -22.582 -22.982
350771 0.5778 11.4300 0.1150 21.702 20.792 20.204 19.710 -20.938 -21.848 -22.436 -22.930
360465 0.4375 10.8860 0.1290 21.672 20.585 20.069 19.882 -20.243 -21.330 -21.846 -22.033
370428 0.1769 10.1240 0.1135 20.040 19.471 19.198 19.117 -19.620 -20.189 -20.462 -20.543
480925 0.3007 9.2830 0.3655 22.003 21.721 21.568 21.491 -18.958 -19.240 -19.393 -19.470
151033 0.3932 11.4970 0.1450 20.272 19.248 18.805 18.475 -21.369 -22.393 -22.836 -23.166
000156 0.4381 10.8130 0.2190 22.928 21.324 20.956 20.631 -18.990 -20.594 -20.962 -21.287
130650 0.2951 9.6410 0.1575 22.029 21.251 21.203 20.869 -18.885 -19.663 -19.711 -20.045
330089 0.3498 9.6510 0.2135 22.380 21.532 21.466 21.318 -18.963 -19.811 -19.877 -20.025
370435 0.3913 11.3130 0.3095 20.520 19.758 19.258 18.954 -21.108 -21.870 -22.370 -22.674
450311 0.2143 10.2510 0.1945 19.488 19.047 18.816 18.700 -20.636 -21.077 -21.308 -21.424
480930 0.6092 10.0660 0.2065 23.335 22.648 22.061 22.093 -19.444 -20.131 -20.718 -20.686
500048 0.2472 10.7120 0.0125 20.662 19.821 19.361 19.187 -19.812 -20.653 -21.113 -21.287
061191 0.2705 10.0360 0.1275 20.163 19.707 19.705 19.194 -20.534 -20.990 -20.992 -21.503
130651 0.5805 10.5180 0.5965 22.954 22.079 22.269 21.842 -19.698 -20.573 -20.383 -20.810
190260 0.1448 10.8330 0.0465 19.750 18.897 18.398 18.059 -19.432 -20.285 -20.784 -21.123
450312 0.2616 10.7260 0.0620 19.640 19.003 18.698 18.464 -20.974 -21.611 -21.916 -22.150
500049 0.3448 11.5390 0.0530 20.039 18.999 18.407 18.214 -21.267 -22.307 -22.899 -23.092
061192 0.2346 10.5800 0.1800 19.016 18.505 18.304 18.204 -21.330 -21.841 -22.042 -22.142
500484 0.3241 10.2160 0.0615 19.876 19.422 19.358 19.047 -21.274 -21.728 -21.792 -22.103
010191 0.3864 11.5170 0.2220 21.103 19.677 19.276 18.886 -20.493 -21.919 -22.320 -22.710
090128 0.4319 11.3990 0.2260 21.840 20.319 19.818 19.469 -20.042 -21.563 -22.064 -22.413
180127 0.3569 10.8980 0.0170 21.389 20.378 19.904 19.666 -20.005 -21.016 -21.490 -21.728
330101 0.3125 10.5710 0.1740 20.430 19.749 19.480 19.213 -20.628 -21.309 -21.578 -21.845
350131 0.2113 10.1160 0.1190 20.696 20.099 19.841 19.644 -19.394 -19.991 -20.249 -20.446
480042 0.4462 9.5490 0.4665 22.118 21.674 21.699 21.454 -19.848 -20.292 -20.267 -20.512
480945 0.5656 11.3200 0.0585 22.343 21.315 20.616 20.234 -20.241 -21.269 -21.968 -22.350
050209 0.5069 9.9770 0.1930 21.582 21.018 20.809 20.710 -20.715 -21.279 -21.488 -21.587
080048 0.3222 11.4710 0.0595 19.346 18.487 18.085 17.898 -21.789 -22.648 -23.050 -23.237
100083 0.4044 10.9900 0.0090 22.357 21.039 20.407 20.039 -19.356 -20.674 -21.306 -21.674
190267 0.3774 10.9220 0.1900 21.370 20.350 19.943 19.637 -20.166 -21.186 -21.593 -21.899
580104 0.3232 11.5430 0.0160 20.017 18.798 18.256 18.011 -21.126 -22.345 -22.887 -23.132
061197 0.3297 11.1270 0.1935 20.514 19.618 19.224 18.953 -20.679 -21.575 -21.969 -22.240
100090 0.1721 9.9780 0.0980 20.047 19.587 19.299 19.208 -19.547 -20.007 -20.295 -20.386
130684 0.4131 11.1720 0.0995 21.360 20.166 19.737 19.418 -20.407 -21.601 -22.030 -22.349
151069 0.3367 11.2380 0.0200 20.012 19.158 18.770 18.518 -21.234 -22.088 -22.476 -22.728
160285 0.4878 10.1810 0.2665 21.989 21.245 21.008 20.818 -20.208 -20.952 -21.189 -21.379
190268 0.3316 11.4750 0.0855 20.220 19.338 18.545 18.397 -20.987 -21.869 -22.662 -22.810
500067 0.2948 9.4770 0.1905 21.361 21.101 20.971 20.926 -19.551 -19.811 -19.941 -19.986
560075 0.3481 11.0550 0.1245 21.482 20.214 19.759 19.497 -19.848 -21.116 -21.571 -21.833
010196 0.3678 11.1920 0.1555 20.347 19.169 18.856 18.449 -21.123 -22.301 -22.614 -23.021
140210 0.2025 10.6340 0.0900 18.889 18.404 18.071 18.030 -21.097 -21.582 -21.915 -21.956
180135 0.6432 10.7000 0.3205 22.444 21.777 21.311 20.861 -20.479 -21.146 -21.612 -22.062
190269 0.3638 9.9990 0.3400 21.576 20.973 20.791 20.411 -19.866 -20.469 -20.651 -21.031
480058 0.0327 9.7500 0.1400 16.464 16.134 15.914 15.797 -19.321 -19.651 -19.871 -19.988
100101 0.4288 11.5780 0.2400 20.608 19.646 19.101 18.738 -21.255 -22.217 -22.762 -23.125
180157 0.4941 10.6860 0.2775 21.848 20.873 20.591 20.349 -20.382 -21.357 -21.639 -21.881
350869 0.3824 9.0470 0.4490 22.771 22.659 22.729 22.245 -18.798 -18.910 -18.840 -19.324
370473 0.5909 10.1900 0.1525 21.956 21.025 20.606 20.883 -20.743 -21.674 -22.093 -21.816
400042 0.2632 11.2590 0.0440 20.063 19.045 18.567 18.295 -20.566 -21.584 -22.062 -22.334
450344 0.2463 10.1710 0.1340 20.354 19.822 19.573 19.344 -20.111 -20.643 -20.892 -21.121
010203 0.0867 10.3840 0.0090 17.882 17.217 16.896 16.713 -20.104 -20.769 -21.090 -21.273
050251 0.3872 11.4010 0.1125 20.638 19.592 19.099 18.783 -20.963 -22.009 -22.502 -22.818
110710 0.6960 10.8880 0.4710 20.739 20.634 20.078 19.784 -22.393 -22.498 -23.054 -23.348
140214 0.3373 11.1040 0.1375 20.238 19.511 19.098 18.858 -21.012 -21.739 -22.152 -22.392
150273 0.4577 11.3680 0.0465 22.112 20.695 20.038 19.692 -19.920 -21.337 -21.994 -22.340
180166 0.1475 10.8800 0.0915 18.929 18.069 17.691 17.509 -20.297 -21.157 -21.535 -21.717
480464 0.2212 10.9170 0.1190 19.815 19.014 18.569 18.447 -20.387 -21.188 -21.633 -21.755
530052 0.6644 10.6610 0.2140 20.635 20.273 19.831 19.695 -22.373 -22.735 -23.177 -23.313
010204 0.4760 10.5190 0.3150 21.251 20.476 20.194 19.997 -20.882 -21.657 -21.939 -22.136
140215 0.2256 11.1720 0.0290 20.045 19.032 18.535 18.279 -20.205 -21.218 -21.715 -21.971
151121 0.4853 10.2890 0.3255 22.136 22.117 21.545 21.329 -20.048 -20.067 -20.639 -20.855
480064 0.2429 8.8670 0.2585 22.615 22.403 22.117 22.062 -17.816 -18.028 -18.314 -18.369
090196 0.3305 10.7460 0.1965 20.264 19.565 19.297 18.991 -20.935 -21.634 -21.902 -22.208
150276 0.2121 10.6760 0.1365 20.308 19.596 19.184 18.936 -19.791 -20.503 -20.915 -21.163
420352 0.4034 9.1850 0.6170 22.209 22.327 22.604 21.921 -19.497 -19.379 -19.102 -19.785
480065 0.4423 11.0030 0.2495 21.066 19.982 19.657 19.419 -20.877 -21.961 -22.286 -22.524
490007 0.0550 9.7610 0.1390 17.684 17.330 17.063 16.965 -19.265 -19.619 -19.886 -19.984
580122 0.4641 8.9840 0.7565 23.592 22.806 23.341 22.427 -18.476 -19.262 -18.727 -19.641
120706 0.3283 11.4290 0.0490 20.218 19.147 18.602 18.415 -20.964 -22.035 -22.580 -22.767
140221 0.3596 10.3580 0.3560 21.706 21.246 20.918 20.540 -19.707 -20.167 -20.495 -20.873
330128 0.3220 10.8120 0.1375 20.987 20.158 19.780 19.480 -20.146 -20.975 -21.353 -21.653
490008 0.1189 9.4300 0.7260 19.965 19.569 19.390 19.333 -18.753 -19.149 -19.328 -19.385
050291 0.3253 11.1690 0.2610 20.067 19.275 18.961 18.698 -21.092 -21.884 -22.198 -22.461
070003 0.1376 9.7220 0.0975 19.188 18.814 18.628 18.543 -19.874 -20.248 -20.434 -20.519
110719 0.5812 11.3480 0.2345 21.515 21.068 20.505 20.197 -21.140 -21.587 -22.150 -22.458
190297 0.4808 10.9230 0.1945 22.515 21.596 21.077 20.723 -19.644 -20.563 -21.082 -21.436
490015 0.2823 10.5500 0.1500 20.355 19.686 19.378 19.157 -20.449 -21.118 -21.426 -21.647
110721 0.5773 11.8470 0.5800 21.902 20.790 20.222 19.708 -20.735 -21.847 -22.415 -22.929
120715 0.2642 11.3650 0.1325 18.805 17.996 17.699 17.406 -21.834 -22.643 -22.940 -23.233
500078 0.3560 10.7190 0.0095 22.303 21.197 20.633 20.321 -19.084 -20.190 -20.754 -21.066
440474 0.2845 10.3590 0.2205 20.898 20.158 19.956 19.634 -19.925 -20.665 -20.867 -21.189
500511 0.3341 9.6330 0.5605 22.101 21.281 21.397 21.177 -19.125 -19.945 -19.829 -20.049
540221 0.2097 10.0550 0.1550 20.305 19.856 19.563 19.417 -19.766 -20.215 -20.508 -20.654
590177 0.3311 10.3300 0.0755 21.293 20.484 20.236 20.001 -19.911 -20.720 -20.968 -21.203
000200 0.4306 11.4990 0.0655 21.408 20.038 19.286 19.020 -20.466 -21.836 -22.588 -22.854
040139 0.2670 10.2240 0.2805 20.462 19.780 19.668 19.516 -20.203 -20.885 -20.997 -21.149
050296 0.3508 10.9050 0.0705 21.942 20.823 20.301 20.021 -19.408 -20.527 -21.049 -21.329
090227 0.5491 9.8270 0.5145 23.029 22.793 22.452 21.958 -19.477 -19.713 -20.054 -20.548
180213 0.5196 10.0290 0.5825 23.274 22.339 22.472 21.734 -19.087 -20.022 -19.889 -20.627
480080 0.2411 10.6010 0.1995 20.395 19.477 19.239 18.985 -20.018 -20.936 -21.174 -21.428
510641 0.4785 11.1180 0.0580 22.247 20.950 20.371 20.061 -19.900 -21.197 -21.776 -22.086
590194 0.0896 10.6340 0.1085 18.355 17.694 17.281 17.073 -19.706 -20.367 -20.780 -20.988
110726 0.5441 10.6530 0.2025 21.465 20.705 20.323 20.132 -21.017 -21.777 -22.159 -22.350
140229 0.4340 9.8820 0.2450 21.204 20.690 20.518 21.161 -20.690 -21.204 -21.376 -20.733
530500 0.2727 9.4090 0.1905 22.853 21.983 21.975 21.191 -17.864 -18.734 -18.742 -19.526
540227 0.5586 10.7070 0.6175 22.297 21.510 21.421 20.530 -20.254 -21.041 -21.130 -22.021
010218 0.5755 9.7370 0.1515 22.326 21.765 21.500 21.471 -20.303 -20.864 -21.129 -21.158
050298 0.5223 10.8600 0.3185 21.414 20.756 20.411 20.011 -20.961 -21.619 -21.964 -22.364
080087 0.3439 10.7330 0.0450 22.178 20.915 20.398 20.169 -19.121 -20.384 -20.901 -21.130
100163 0.3188 10.4340 0.2885 22.107 21.311 21.266 21.018 -19.001 -19.797 -19.842 -20.090
140234 0.4981 10.7550 0.2985 22.114 21.303 20.806 20.587 -20.137 -20.948 -21.445 -21.664
180225 0.7522 10.0080 0.8325 20.750 21.999 21.205 21.126 -22.588 -21.339 -22.133 -22.212
350181 0.4232 10.8320 0.0750 22.948 21.365 20.798 20.466 -18.881 -20.464 -21.031 -21.363
540228 0.4646 10.0400 0.4730 21.333 21.011 20.808 20.544 -20.737 -21.059 -21.262 -21.526
000210 0.6104 10.7060 0.2885 21.939 21.448 20.943 20.654 -20.845 -21.336 -21.841 -22.130
010222 0.4074 10.1640 0.3010 21.142 20.526 20.339 20.177 -20.589 -21.205 -21.392 -21.554
040147 0.2433 10.4590 0.1480 21.357 20.712 20.349 20.113 -19.078 -19.723 -20.086 -20.322
070054 0.4467 11.8350 0.0100 20.672 19.449 18.814 18.404 -21.297 -22.520 -23.155 -23.565
100164 0.4057 10.6120 0.3020 21.680 20.976 20.522 20.232 -20.041 -20.745 -21.199 -21.489
140240 0.4660 8.9690 0.7230 23.310 22.899 23.464 22.774 -18.768 -19.179 -18.614 -19.304
480091 0.2476 10.4800 0.1205 19.574 19.070 18.808 18.640 -20.904 -21.408 -21.670 -21.838
500085 0.3975 11.4760 0.0050 20.215 19.209 18.732 18.429 -21.453 -22.459 -22.936 -23.239
530502 0.4620 10.2040 0.1955 20.951 20.485 19.918 20.223 -21.105 -21.571 -22.138 -21.833
050303 0.3282 11.2480 0.1060 20.174 19.293 18.893 18.591 -21.007 -21.888 -22.288 -22.590
360043 0.5000 10.6950 0.3955 20.663 19.873 19.779 19.516 -21.598 -22.388 -22.482 -22.745
420407 0.2466 10.5040 0.2500 20.769 20.162 19.753 19.478 -19.699 -20.306 -20.715 -20.990
490037 0.4219 11.4170 0.1905 19.679 18.715 18.243 18.104 -22.142 -23.106 -23.578 -23.717
010230 0.3025 10.3950 0.1565 21.879 20.981 20.644 20.315 -19.097 -19.995 -20.332 -20.661
040151 0.2554 11.2070 0.0150 20.270 19.065 18.575 18.339 -20.285 -21.490 -21.980 -22.216
070071 0.3688 11.7160 0.1690 20.071 18.757 18.321 18.038 -21.406 -22.720 -23.156 -23.439
110734 0.4013 11.4040 0.0200 21.290 19.769 19.191 18.895 -20.403 -21.924 -22.502 -22.798
180255 0.4596 9.7590 0.3375 22.475 22.039 21.729 21.505 -19.567 -20.003 -20.313 -20.537
380287 0.3482 10.8030 0.2815 21.347 20.514 20.154 19.804 -19.984 -20.817 -21.177 -21.527
460019 0.3845 9.7780 0.5030 21.593 20.373 20.945 20.363 -19.990 -21.210 -20.638 -21.220
510653 0.3515 9.3200 0.1965 22.408 21.808 21.804 21.584 -18.947 -19.547 -19.551 -19.771
480103 0.4146 10.1700 0.5545 21.229 20.528 20.370 20.605 -20.547 -21.248 -21.406 -21.171
070096 0.3927 11.3560 0.0815 21.324 20.057 19.544 19.177 -20.313 -21.580 -22.093 -22.460
170044 0.4818 10.4720 0.6645 21.086 20.601 20.454 20.410 -21.079 -21.564 -21.711 -21.755
400103 0.3395 9.6690 0.1895 21.317 20.784 20.894 20.755 -19.950 -20.483 -20.373 -20.512
420417 0.3626 10.9340 0.0680 22.634 21.003 20.472 20.086 -18.800 -20.431 -20.962 -21.348
500091 0.3392 10.2970 0.3270 20.895 20.681 20.309 20.029 -20.370 -20.584 -20.956 -21.236
540242 0.4052 10.8710 0.2335 20.828 19.901 19.513 19.248 -20.890 -21.817 -22.205 -22.470
560120 0.3876 10.9430 0.3265 21.650 20.387 20.030 19.784 -19.954 -21.217 -21.574 -21.820
040163 0.4151 9.8220 0.6320 21.322 20.718 21.121 20.637 -20.458 -21.062 -20.659 -21.143
070110 0.2799 10.8750 0.4735 20.772 20.024 19.734 19.421 -20.010 -20.758 -21.048 -21.361
130755 0.2930 8.9520 0.5110 21.877 21.692 21.683 21.220 -19.019 -19.204 -19.213 -19.676
190364 0.7614 9.9660 0.7970 21.526 21.610 21.505 21.320 -21.845 -21.761 -21.866 -22.051
360052 0.3136 11.6340 0.0230 19.668 18.473 17.894 17.735 -21.399 -22.594 -23.173 -23.332
360688 0.4743 11.1650 0.2080 20.710 19.820 19.411 19.183 -21.414 -22.304 -22.713 -22.941
400106 0.5087 11.5500 0.0380 21.912 20.702 19.899 19.507 -20.394 -21.604 -22.407 -22.799
000227 0.4969 9.1010 0.1780 23.942 23.460 23.095 23.073 -18.303 -18.785 -19.150 -19.172
070111 0.3534 10.2030 0.1950 21.902 20.911 20.715 20.472 -19.467 -20.458 -20.654 -20.897
140276 0.2490 11.3430 0.0360 19.774 18.692 18.257 17.997 -20.718 -21.800 -22.235 -22.495
350213 0.6100 11.5690 0.3480 21.290 20.364 19.756 19.449 -21.493 -22.419 -23.027 -23.334
370522 0.4097 10.5410 0.5045 21.652 21.279 20.843 20.811 -20.094 -20.467 -20.903 -20.935
530081 0.3291 10.3220 0.1605 20.364 19.730 19.639 19.387 -20.824 -21.458 -21.549 -21.801
120039 0.3241 10.7520 0.3410 21.349 20.653 20.431 20.255 -19.801 -20.497 -20.719 -20.895
130758 0.3030 9.2170 0.5245 21.942 21.691 21.889 21.779 -19.038 -19.289 -19.091 -19.201
360701 0.4264 10.7390 0.2755 20.592 19.868 19.701 19.422 -21.257 -21.981 -22.148 -22.427
370528 0.4071 10.7720 0.2700 20.640 19.871 19.466 19.253 -21.090 -21.859 -22.264 -22.477
400113 0.3172 11.6680 0.0595 19.605 18.402 17.902 17.804 -21.490 -22.693 -23.193 -23.291
440531 0.5236 11.6800 0.1990 21.657 20.601 20.002 19.222 -20.725 -21.781 -22.380 -23.160
480560 0.3343 9.9440 0.2405 20.876 20.411 20.336 20.021 -20.352 -20.817 -20.892 -21.207
530082 0.4719 9.9110 0.4150 22.645 22.172 21.916 21.636 -19.466 -19.939 -20.195 -20.475
040168 0.2058 10.8980 0.0835 19.671 18.908 18.499 18.304 -20.355 -21.118 -21.527 -21.722
350219 0.3459 9.6420 0.3265 22.814 22.372 22.018 21.807 -18.500 -18.942 -19.296 -19.507
360060 0.4367 11.3940 0.0260 21.500 20.081 19.429 19.091 -20.410 -21.829 -22.481 -22.819
360704 0.2327 9.2820 0.1105 21.430 21.107 21.061 20.869 -18.896 -19.219 -19.265 -19.457
420435 0.3186 11.0160 0.0445 21.327 20.169 19.730 19.399 -19.780 -20.938 -21.377 -21.708
590248 0.3107 10.8560 0.1150 19.956 19.192 18.898 18.648 -21.087 -21.851 -22.145 -22.395
490156 0.2193 9.6370 0.2325 22.575 21.924 21.445 21.388 -17.605 -18.256 -18.735 -18.792
530540 0.2348 10.2290 0.1920 20.144 19.598 19.337 19.226 -20.204 -20.750 -21.011 -21.122
000236 0.1953 10.9020 0.0505 19.270 18.602 18.165 17.986 -20.629 -21.297 -21.734 -21.913
040170 0.1891 11.4490 0.0465 18.812 17.836 17.389 17.133 -21.009 -21.985 -22.432 -22.688
140286 0.1954 8.9620 0.2010 21.707 21.657 21.521 21.709 -18.193 -18.243 -18.379 -18.191
150365 0.3381 11.2650 0.0205 20.478 19.419 18.968 18.684 -20.778 -21.837 -22.288 -22.572
360067 0.5930 11.7740 0.0790 21.596 20.374 19.681 19.302 -21.112 -22.334 -23.027 -23.406
380318 0.3362 11.4430 0.0490 20.044 19.010 18.507 18.253 -21.198 -22.232 -22.735 -22.989
490181 0.4983 10.6940 0.4295 22.242 21.474 21.177 20.764 -20.010 -20.778 -21.075 -21.488
500099 0.4198 11.8290 0.1145 21.082 19.526 18.848 18.511 -20.727 -22.283 -22.961 -23.298
530542 0.2486 10.4570 0.4195 20.964 20.807 20.708 20.514 -19.524 -19.681 -19.780 -19.974
480126 0.3190 10.8390 0.0660 20.607 19.769 19.398 19.128 -20.503 -21.341 -21.712 -21.982
530086 0.0521 10.4750 0.0950 16.885 16.132 15.706 15.447 -19.942 -20.695 -21.121 -21.380
040176 0.3470 10.9920 0.0530 21.065 20.008 19.619 19.355 -20.257 -21.314 -21.703 -21.967
150379 0.2088 10.5870 0.0610 20.915 20.010 19.585 19.285 -19.146 -20.051 -20.476 -20.776
360735 0.4290 11.2570 0.1455 21.389 20.297 19.590 19.436 -20.475 -21.567 -22.274 -22.428
390442 0.3860 10.9790 0.0160 22.094 20.697 20.165 19.872 -19.499 -20.896 -21.428 -21.721
520011 0.2818 11.2590 0.1080 19.136 18.419 18.024 17.784 -21.663 -22.380 -22.775 -23.015
370542 0.5575 11.3630 0.1735 21.227 20.158 19.494 19.223 -21.319 -22.388 -23.052 -23.323
460054 0.3344 11.6390 0.0360 19.932 18.660 18.162 17.820 -21.297 -22.569 -23.067 -23.409
480128 0.3479 11.3510 0.0140 21.058 19.673 19.126 18.800 -20.271 -21.656 -22.203 -22.529
490191 0.3529 10.3110 0.1740 21.766 21.168 20.809 20.494 -19.599 -20.197 -20.556 -20.871
500102 0.2351 10.1340 0.2195 20.003 19.607 19.291 19.283 -20.348 -20.744 -21.060 -21.068
530089 0.4763 10.1420 0.1420 21.270 20.689 20.408 20.396 -20.865 -21.446 -21.727 -21.739
070175 0.5481 11.3730 0.0705 22.246 20.995 20.221 19.872 -20.255 -21.506 -22.280 -22.629
140299 0.1414 8.9180 0.2005 21.475 20.940 20.837 20.741 -17.651 -18.186 -18.289 -18.385
350235 0.2633 10.1270 0.2855 20.478 19.914 19.770 19.530 -20.152 -20.716 -20.860 -21.100
520015 0.2664 11.0900 0.4680 19.315 18.804 18.581 18.324 -21.344 -21.855 -22.078 -22.335
040198 0.2483 9.5410 0.4085 21.815 21.186 21.150 20.751 -18.670 -19.299 -19.335 -19.734
050607 0.4387 9.4580 0.2300 22.246 21.968 21.788 21.727 -19.676 -19.954 -20.134 -20.195
520016 0.4473 10.0110 0.3850 22.124 21.238 21.079 21.027 -19.848 -20.734 -20.893 -20.945
050617 0.3784 10.7080 0.2225 20.215 19.345 19.047 18.758 -21.327 -22.197 -22.495 -22.784
130056 0.1698 9.5710 0.2170 21.512 20.998 20.757 20.572 -18.050 -18.564 -18.805 -18.990
130798 0.2886 10.8890 0.0245 21.286 20.192 19.674 19.375 -19.573 -20.667 -21.185 -21.484
510122 0.3552 11.0030 0.0800 21.952 20.329 19.918 19.704 -19.429 -21.052 -21.463 -21.677
000260 0.5604 11.5680 0.0675 22.137 20.897 20.074 19.742 -20.422 -21.662 -22.485 -22.817
070194 0.4759 11.4840 0.3020 20.169 19.296 18.958 18.644 -21.964 -22.837 -23.175 -23.489
120111 0.4266 9.3160 0.1255 23.400 22.558 22.249 22.386 -18.450 -19.292 -19.601 -19.464
170118 0.3650 10.5020 0.5145 20.773 20.382 20.045 19.951 -20.678 -21.069 -21.406 -21.500
360106 0.3707 11.2760 0.0880 21.139 20.245 19.629 19.275 -20.351 -21.245 -21.861 -22.215
370563 0.1843 10.8590 0.0765 19.166 18.438 17.922 17.812 -20.593 -21.321 -21.837 -21.947
520019 0.2627 11.2660 0.0980 19.023 18.199 17.897 17.628 -21.602 -22.426 -22.728 -22.997
560150 0.2005 11.4580 0.0555 18.987 17.897 17.461 17.176 -20.975 -22.065 -22.501 -22.786
070200 0.4370 11.5620 0.2505 19.461 18.527 18.117 17.867 -22.451 -23.385 -23.795 -24.045
080238 0.7016 9.8020 0.2240 24.269 23.376 22.940 22.329 -18.884 -19.777 -20.213 -20.824
090454 0.6674 11.6650 0.0415 22.308 21.279 20.203 19.898 -20.712 -21.741 -22.817 -23.122
370034 0.3709 9.3930 0.2965 22.320 21.536 21.454 21.520 -19.171 -19.955 -20.037 -19.971
460063 0.1757 10.0230 0.1080 20.025 19.529 19.285 19.169 -19.619 -20.115 -20.359 -20.475
490199 0.6028 11.6750 0.0585 22.056 20.929 20.061 19.719 -20.695 -21.822 -22.690 -23.032
530585 0.4214 11.1340 0.0585 21.259 20.238 19.820 19.455 -20.559 -21.580 -21.998 -22.363
050625 0.3328 11.1580 0.0425 21.007 19.872 19.405 19.101 -20.209 -21.344 -21.811 -22.115
151794 0.3448 11.1900 0.0505 21.261 19.899 19.407 19.081 -20.045 -21.407 -21.899 -22.225
180329 0.4250 10.5550 0.2565 20.938 20.227 19.952 19.751 -20.902 -21.613 -21.888 -22.089
390471 0.2925 10.5040 0.2215 20.404 19.810 19.493 19.324 -20.488 -21.082 -21.399 -21.568
490203 0.2636 11.4030 0.0160 19.813 18.593 18.086 17.814 -20.820 -22.040 -22.547 -22.819
510129 0.4325 11.3720 0.2440 21.143 19.939 19.472 19.141 -20.742 -21.946 -22.413 -22.744
520021 0.4088 10.4440 0.3040 21.974 21.232 20.831 20.511 -19.766 -20.508 -20.909 -21.229
040313 0.2651 9.7910 0.1055 21.012 20.429 20.406 20.003 -19.635 -20.218 -20.241 -20.644
180344 0.4107 10.1660 0.3090 21.545 21.013 20.715 20.457 -20.207 -20.739 -21.037 -21.295
