# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc440216 10.5930 0.4260
PSc490579 11.2360 0.0665
PSc050005 9.6330 0.3455
PSc170465 10.8250 0.2430
PSc330015 11.4990 0.0325
PSc350583 10.8600 0.1120
PSc360285 9.2480 0.2825
PSc390124 9.3050 0.3455
PSc030007 10.0300 0.2790
PSc060238 11.4660 0.0365
PSc120567 10.8300 0.1435
PSc150604 11.2980 0.0590
PSc310147 10.9850 0.0440
PSc330016 9.2730 0.4745
PSc370332 11.1720 0.0495
PSc380092 10.7640 0.1390
PSc390640 9.1470 0.4480
PSc480311 -99.0000 0.0000
PSc520171 10.4980 0.2600
PSc550146 11.1540 0.0765
PSc140105 10.3570 0.0220
PSc150607 10.3280 0.3565
PSc210089 9.0310 0.8285
PSc310161 9.5770 0.2075
PSc380095 10.6520 0.1700
PSc480315 11.2340 0.0695
PSc500001 11.0780 0.0525
PSc540087 10.5780 0.2925
PSc060249 10.9740 0.0850
PSc091869 10.3470 0.3405
PSc140107 10.5480 0.2995
PSc150132 9.5800 0.2950
PSc170520 11.3740 0.0680
PSc330023 10.6230 0.1275
PSc370335 11.5740 0.1225
PSc420138 10.4460 0.1515
PSc440229 10.9570 0.1190
PSc480316 11.2280 0.0470
PSc540088 -99.0000 0.0000
PSc070955 9.5130 0.2715
PSc140112 10.9640 0.2220
PSc150141 9.7750 0.4950
PSc210091 9.8110 0.3970
PSc310185 10.0170 0.4570
PSc450200 11.1710 0.1270
PSc500322 9.9210 0.1350
PSc540091 11.3870 0.5075
PSc550154 10.5820 0.0815
PSc080771 10.2180 0.2210
PSc150145 10.6290 0.1865
PSc360320 11.4900 0.0750
PSc440242 11.5240 0.2395
PSc480863 11.1710 0.2415
PSc500328 11.0880 0.0655
PSc050017 11.1680 0.0710
PSc080772 10.0170 0.1760
PSc190142 11.1780 0.0460
PSc370339 10.8720 0.2525
PSc550176 11.0150 0.1300
PSc010055 11.2690 0.0570
PSc070985 11.4770 0.1210
PSc150170 11.2890 0.0295
