# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc370593 11.5470 0.3020
PSc480173 11.6960 0.0595
PSc530618 11.2490 0.0550
PSc000363 8.7130 0.0995
PSc040382 11.9320 0.3365
PSc120223 10.2550 0.8840
PSc160028 11.0470 0.0305
PSc180424 11.0490 0.1615
PSc490289 10.8830 0.5225
PSc510167 11.4080 0.1125
PSc520054 9.8790 0.2195
PSc530621 10.2760 0.1615
PSc580268 11.5780 0.1500
PSc020033 11.7370 0.0125
PSc080295 9.8160 0.6550
PSc100382 11.1330 0.3670
PSc140361 10.9380 0.0410
PSc350335 10.6140 0.2240
PSc370595 10.3240 0.0775
PSc380392 9.6100 0.2535
PSc480179 9.7990 0.5035
PSc550009 11.0900 0.1225
PSc020034 11.0370 0.0485
PSc051109 9.8740 0.2655
PSc080296 11.7440 0.3035
PSc130880 11.3880 0.0690
PSc350342 11.1490 0.2755
PSc480180 10.8720 0.1310
PSc520058 10.1600 0.4460
PSc580270 9.8510 0.1865
PSc090638 11.3270 0.0530
PSc100405 -99.0000 0.0000
PSc310024 10.1520 0.3255
PSc440040 10.9870 0.0115
PSc510175 9.9440 0.3725
PSc520059 10.7850 0.1875
PSc530630 11.0400 0.1575
PSc090746 11.2750 0.0990
PSc140371 9.5900 0.2865
PSc310025 10.0940 0.1820
PSc480184 11.0730 0.0400
PSc520061 11.4520 0.0155
PSc550027 10.1490 0.2625
PSc000418 11.3510 0.0675
PSc020047 10.5280 0.1500
PSc040434 10.8610 0.0180
PSc150457 11.4540 0.0195
PSc370131 10.2180 0.0640
PSc000420 9.7420 0.4490
PSc070402 10.9490 0.1090
PSc100417 10.7250 0.3170
PSc160045 8.0650 0.3440
PSc350356 11.0140 0.2645
PSc360136 10.1550 0.1740
PSc370610 10.1600 0.2875
PSc480189 10.6500 0.4230
PSc520070 10.8760 0.4615
PSc550031 11.3250 0.2085
PSc570022 9.4990 0.0830
PSc140382 10.1000 0.2775
PSc150471 11.0580 0.0180
PSc160046 11.1140 0.0715
PSc170240 10.4920 0.0870
PSc200101 10.4810 0.0320
PSc340105 10.7290 0.0440
PSc370143 10.8480 0.3725
PSc500163 10.6290 0.0695
PSc570024 10.1580 0.0540
PSc020057 10.3520 0.2510
PSc140384 11.6420 0.6140
PSc180475 11.2190 0.1230
PSc320336 9.4720 0.3275
PSc380006 9.5030 0.0825
PSc480193 11.8040 0.1860
PSc530641 11.3040 0.0665
PSc080343 9.5470 0.4985
PSc160051 11.4290 0.0155
PSc170254 9.9310 0.6450
PSc480195 10.5290 0.2960
PSc500165 11.2840 0.0575
PSc510203 11.3290 0.2680
PSc550040 10.8860 0.0795
PSc070470 9.5280 0.3605
PSc100423 11.6290 0.1335
PSc160054 9.5400 0.1950
PSc200105 10.0110 0.5540
PSc310039 9.9530 0.0675
PSc320345 10.6050 0.1095
PSc370161 9.1390 0.2940
PSc480198 11.3460 0.0540
PSc040477 11.0030 0.0375
PSc052136 11.0900 0.5090
PSc070472 11.4880 0.3050
PSc140390 10.9960 0.0125
PSc200106 9.4460 0.5080
PSc340121 10.8670 0.2845
PSc380012 10.4780 0.1530
PSc380424 11.6430 0.0410
PSc480732 11.4400 0.1485
PSc530696 10.4680 0.1800
PSc550043 11.2320 0.9695
PSc080363 11.1410 0.1330
PSc090924 11.3140 0.0470
PSc130283 11.0120 0.0325
PSc140396 11.3650 0.0330
PSc170275 10.4670 0.2880
PSc200108 9.4220 0.4690
PSc350390 11.4340 0.0535
PSc520083 11.2630 0.0690
PSc530698 10.7410 0.1445
PSc040511 11.3820 0.0075
PSc150500 10.3300 0.1495
PSc170276 11.1030 0.3145
PSc310046 11.3720 0.1550
PSc350393 11.1160 0.0925
PSc380433 9.4450 0.6035
PSc510234 11.1850 0.0205
PSc520086 10.6080 0.2510
PSc530704 11.2910 0.1590
PSc550047 11.6630 0.0800
PSc040512 10.7260 0.0295
PSc070515 9.4700 0.1230
PSc090966 9.5530 0.7295
PSc310050 11.3260 0.1445
PSc360145 9.9110 0.1785
PSc490402 11.9970 0.5435
PSc550050 11.2300 0.0640
PSc040530 9.5890 0.2335
PSc130308 10.4240 0.2705
PSc150509 10.7800 0.0045
PSc200118 9.7590 0.8240
PSc310051 10.4350 0.1555
PSc320388 10.7490 0.1790
PSc380024 11.6270 0.0945
PSc380438 9.1370 0.2875
PSc470041 11.1620 0.0210
PSc480214 11.0710 0.0665
PSc490403 10.7440 0.3030
PSc540002 9.4260 0.4545
PSc570036 10.2180 0.3630
PSc110014 11.5410 0.6095
PSc120313 10.3070 0.0775
PSc170285 11.2430 0.0535
PSc360147 11.8820 0.2130
